model,category,subtype,features,p290_both_best,p291_both_best,p290_cross_max_drop,p291_cross_max_drop,p291_best_block_width
glm4,recursive,complement_clause,95,0.9685581410244607,1.0189978580700203,0.9415642227422253,0.9452411010196109,9.0
glm4,logical,conditional,95,0.9743066363274338,0.9998613171254676,0.9719646505577778,0.977315136685095,9.0
glm4,logical,contrast,95,1.0039548145555341,1.0039548145555341,0.9993212497060263,0.9993212497060263,1.0
glm4,passive,dative_passive,95,1.1063657418148212,1.1168089873437403,1.103421959079786,1.103421959079786,2.0
glm4,negation,existential_no,95,0.9821673628926173,1.000565002124237,0.9834678728648545,0.9834678728648545,9.0
glm4,passive,get_passive,95,1.0644575461993508,1.0644575461993508,1.0681567534972534,1.0681567534972534,1.0
glm4,logical,inference,95,1.0004822413958423,1.00222087842153,0.9974467218697244,0.9974467218697244,3.0
glm4,negation,lexical_not_adj,95,0.9872664951926352,0.9905678695730029,0.9584861031693878,0.9584861031693878,3.0
glm4,negation,morphological_neg,95,0.9769188484514871,0.9977586233211347,0.9816137799147328,0.9816137799147328,5.0
glm4,negation,never,95,0.9693674295133704,0.9990772929932247,0.9189391123966284,0.9377859015592069,9.0
glm4,passive,no_agent,95,0.9875794319648163,0.998913105561375,0.9856104542421492,0.9856104542421492,5.0
glm4,recursive,possessive_chain,95,0.8303720775380422,0.8944972190668701,0.8302397889130907,0.8461912729894899,9.0
glm4,recursive,pp_chain,95,0.8608546651206349,0.8739196823897865,0.8448735493847723,0.8181959690551684,5.0
glm4,recursive,relative_clause,95,0.951972209392282,0.9721305405497106,0.9375595679457538,0.9600451958012521,2.0
glm4,negation,scope_quantifier,95,0.9195537704297534,0.9457748777875036,0.7576116100535455,0.7705418018367184,9.0
glm4,negation,syntactic_do_not,95,0.9404546290563565,1.0208370139649245,0.9711033297691093,0.9917779650275276,3.0
deepseek7b,logical,and_or,88,0.6251730272183865,0.9083404084120079,0.5420656408602157,0.7624767355965946,8.0
deepseek7b,passive,by_phrase,88,0.6172744377920915,0.912386007954113,0.683549275708245,0.9569823066856893,8.0
deepseek7b,logical,causal,88,0.7178756211350068,0.9146084813377573,0.6176477858274336,0.7738717865912061,8.0
deepseek7b,recursive,complement_clause,88,0.8604012843740471,0.8846309264723927,0.941116732188259,0.9728625949238898,8.0
deepseek7b,logical,conditional,88,0.8924721961001598,0.9880255955591393,0.7867166890124739,0.6892004886638472,8.0
deepseek7b,logical,contrast,88,0.6878186147684926,0.9187381594935933,0.43996649539680144,0.6436041919859481,8.0
deepseek7b,passive,dative_passive,88,0.7578919345791189,1.0023833095519665,0.8093284809184815,0.9862329776916774,8.0
deepseek7b,negation,existential_no,88,0.39790895157398415,0.8345519023512438,0.5918783384863977,0.8424675274171622,8.0
deepseek7b,passive,get_passive,88,0.7464944952213146,0.9840462445275814,0.7584133317630207,0.9544703249278345,8.0
deepseek7b,logical,inference,88,0.8775104609119733,0.9331559340612532,0.6847341764388435,0.7168882359377741,8.0
deepseek7b,negation,lexical_not_adj,88,0.30464105553088916,0.8173257510148081,0.16976475156485688,0.6016339674044795,8.0
deepseek7b,negation,morphological_neg,88,0.29105040237755475,0.7562396796478397,0.2863510879341193,0.7136798174598464,8.0
