subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
nested_contrast,0.850351,0.920341,0.850073,0.883125,0.988632,0.927977,0.838400,0.887322,0.880202,0.922012,0.979525,0.951259,0.986889,0.969917,0.923207,0.979130,0.969969,0.914889,0.976532,0.985101,0.918357,0.954267,0.879855,0.828908,0.919376,0.981013,0.896743,0.982220,0.985509,1.000000,0.983223,0.918020,0.884020,0.939553,0.985646,0.980838,0.917392,0.926233,0.987243,0.920878,0.916898,0.928724,0.918311,0.918028,0.828631
nested_passive,0.867897,0.928664,0.870079,0.908535,0.988210,0.926265,0.862394,0.913874,0.906420,0.929611,0.985163,0.958373,0.993824,0.988028,0.958231,0.992344,0.987963,0.925460,0.987293,0.992721,0.926472,0.976077,0.905373,0.846776,0.924238,0.996290,0.919987,0.985062,0.986275,0.983223,1.000000,0.917952,0.908856,0.969442,0.991438,0.988506,0.928064,0.927915,0.990637,0.928849,0.918894,0.949201,0.920152,0.944438,0.859476
never,0.917423,0.988456,0.783515,0.945997,0.912450,0.983144,0.772805,0.956576,0.946698,0.985496,0.898141,0.897620,0.913777,0.913804,0.864885,0.910796,0.905594,0.986654,0.918491,0.922030,0.987852,0.901021,0.944023,0.757436,0.987937,0.913281,0.962166,0.927582,0.904665,0.918020,0.917952,1.000000,0.953390,0.881806,0.920903,0.921606,0.972495,0.980109,0.922825,0.987971,0.992537,0.867853,0.990318,0.852853,0.767691
no_agent,0.965598,0.964264,0.854752,0.993889,0.888136,0.958066,0.855643,0.993656,0.995972,0.966975,0.898802,0.905434,0.902357,0.918721,0.923784,0.912174,0.915259,0.982318,0.885575,0.897246,0.963202,0.923081,0.991870,0.840410,0.954850,0.911169,0.989890,0.883921,0.891232,0.884020,0.908856,0.953390,1.000000,0.923533,0.898285,0.906233,0.963034,0.955720,0.895062,0.951692,0.950581,0.910235,0.945725,0.915730,0.857559
past_simple,0.904923,0.899081,0.919227,0.925993,0.945686,0.894685,0.919103,0.925305,0.927763,0.903815,0.961090,0.970129,0.959959,0.979358,0.990296,0.972048,0.977753,0.915916,0.938240,0.955767,0.900485,0.989999,0.922762,0.902652,0.886827,0.974646,0.920198,0.942119,0.949598,0.939553,0.969442,0.881806,0.923533,1.000000,0.958220,0.964732,0.899571,0.887351,0.954231,0.889270,0.881041,0.977306,0.878980,0.978533,0.922501
perfect,0.859527,0.928550,0.851993,0.898018,0.988560,0.930479,0.842081,0.901367,0.895245,0.932515,0.979399,0.958626,0.993189,0.981342,0.943138,0.987994,0.981717,0.922922,0.987722,0.998955,0.925430,0.967477,0.894086,0.825670,0.929275,0.993188,0.909844,0.986355,0.980320,0.985646,0.991438,0.920903,0.898285,0.958220,1.000000,0.984927,0.923545,0.924400,0.998856,0.927131,0.919643,0.936315,0.923395,0.928680,0.838888
poetic,0.871454,0.924711,0.863540,0.905845,0.977764,0.921348,0.857695,0.907977,0.902510,0.922463,0.974738,0.976870,0.981435,0.992473,0.953311,0.986080,0.982062,0.927095,0.978326,0.984552,0.919430,0.976776,0.900289,0.840882,0.922243,0.987360,0.915948,0.984244,0.975604,0.980838,0.988506,0.921606,0.906233,0.964732,0.984927,1.000000,0.914038,0.917386,0.985721,0.921669,0.919815,0.951301,0.915699,0.937745,0.853165
possessive_chain,0.927341,0.984549,0.810339,0.961771,0.923261,0.987940,0.803088,0.973411,0.962273,0.988437,0.928286,0.880566,0.927146,0.913404,0.889375,0.928980,0.917722,0.979909,0.917328,0.923044,0.985717,0.903898,0.962026,0.790716,0.982670,0.927661,0.976593,0.911759,0.928415,0.917392,0.928064,0.972495,0.963034,0.899571,0.923545,0.914038,1.000000,0.989704,0.921338,0.987111,0.980091,0.881111,0.976270,0.882337,0.799333
pp_chain,0.911455,0.986227,0.799846,0.955591,0.927907,0.990372,0.788824,0.961603,0.951467,0.987978,0.920106,0.883549,0.930019,0.912675,0.874294,0.922961,0.915468,0.979534,0.920211,0.925368,0.983700,0.897018,0.954221,0.777847,0.983584,0.924226,0.969736,0.918400,0.926653,0.926233,0.927915,0.980109,0.955720,0.887351,0.924400,0.917386,0.989704,1.000000,0.923921,0.989394,0.980079,0.871363,0.983431,0.866092,0.782090
progressive,0.856351,0.928232,0.845780,0.894550,0.987997,0.930745,0.835236,0.897158,0.891349,0.931666,0.977678,0.958583,0.991558,0.979902,0.937481,0.986809,0.980626,0.922911,0.988123,0.998791,0.925500,0.966279,0.890581,0.818818,0.930359,0.991175,0.906589,0.988701,0.978818,0.987243,0.990637,0.922825,0.895062,0.954231,0.998856,0.985721,0.921338,0.923921,1.000000,0.927597,0.921369,0.932778,0.924192,0.924149,0.831017
relative_clause,0.909306,0.992906,0.783067,0.944382,0.923444,0.987598,0.772123,0.957896,0.946047,0.991805,0.912963,0.887126,0.925430,0.915579,0.870140,0.920316,0.916445,0.982811,0.927175,0.928827,0.989900,0.899353,0.943570,0.757468,0.991660,0.925650,0.965073,0.928206,0.918357,0.920878,0.928849,0.987971,0.951692,0.889270,0.927131,0.921669,0.987111,0.989394,0.927597,1.000000,0.989054,0.867106,0.990517,0.857874,0.768294
scope_quantifier,0.911404,0.985734,0.777652,0.942127,0.913566,0.982423,0.766199,0.956012,0.944174,0.983968,0.905154,0.889946,0.913980,0.910192,0.862594,0.915414,0.904719,0.981595,0.918950,0.920515,0.991011,0.900472,0.942253,0.751590,0.990114,0.915245,0.958095,0.926765,0.910736,0.916898,0.918894,0.992537,0.950581,0.881041,0.919643,0.919815,0.980091,0.980079,0.921369,0.989054,1.000000,0.863632,0.984342,0.853583,0.761024
she_coref,0.916026,0.882167,0.967073,0.913044,0.932507,0.879332,0.966361,0.910726,0.914303,0.886454,0.942530,0.968839,0.937081,0.963437,0.977267,0.951723,0.956367,0.899459,0.917404,0.933919,0.884922,0.973933,0.908799,0.955614,0.868233,0.953104,0.903247,0.924239,0.934623,0.928724,0.949201,0.867853,0.910235,0.977306,0.936315,0.951301,0.881111,0.871363,0.932778,0.867106,0.863632,1.000000,0.868889,0.986002,0.963230
syntactic_do_not,0.909417,0.992238,0.794069,0.938953,0.921735,0.985402,0.780250,0.949459,0.937902,0.989533,0.899095,0.889429,0.916930,0.909764,0.860649,0.908794,0.909533,0.980736,0.924402,0.925288,0.986165,0.891633,0.933929,0.768007,0.988606,0.918451,0.957292,0.927937,0.907849,0.918311,0.920152,0.990318,0.945725,0.878980,0.923395,0.915699,0.976270,0.983431,0.924192,0.990517,0.984342,0.868889,1.000000,0.849259,0.774677
target_language_switch,0.912797,0.869903,0.957553,0.917973,0.922875,0.869993,0.962681,0.916503,0.921126,0.878678,0.947188,0.950056,0.937090,0.956454,0.984428,0.955024,0.952514,0.892605,0.906501,0.926044,0.878812,0.972456,0.920452,0.948156,0.857041,0.948403,0.907779,0.906412,0.933059,0.918028,0.944438,0.852853,0.915730,0.978533,0.928680,0.937745,0.882337,0.866092,0.924149,0.857874,0.853583,0.986002,0.849259,1.000000,0.962656
they_coref,0.892232,0.791869,0.988527,0.863387,0.843047,0.791463,0.995696,0.855626,0.866374,0.802434,0.854419,0.898452,0.847294,0.879404,0.938055,0.864451,0.875152,0.816637,0.812196,0.835336,0.799085,0.906928,0.859717,0.985779,0.768513,0.865755,0.839959,0.816525,0.844154,0.828631,0.859476,0.767691,0.857559,0.922501,0.838888,0.853165,0.799333,0.782090,0.831017,0.768294,0.761024,0.963230,0.774677,0.962656,1.000000
