subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
deep_complement,0.752675,0.752145,0.796378,0.713795,0.936849,0.671836,0.881686,0.756465,0.753955,0.761879,1.000000,0.971880,0.927290,0.922467,0.915086,0.906852,0.904691,0.719382,0.953579,0.897893,0.732765,0.924332,0.692476,0.860792,0.761761,0.927124,0.739309,0.940798,0.937093,0.917454,0.909967,0.763034,0.714265,0.934137,0.906256,0.942385,0.723338,0.728071,0.921141,0.751466,0.748339,0.962923,0.719580,0.945874,0.881122
deictic_switch,0.766570,0.727914,0.780319,0.701545,0.921339,0.673735,0.894018,0.756056,0.724946,0.757699,0.971880,1.000000,0.886186,0.911302,0.924919,0.916687,0.929091,0.702707,0.961693,0.886175,0.725076,0.933743,0.702374,0.866153,0.724275,0.885633,0.740929,0.963840,0.918368,0.928471,0.932277,0.750410,0.682360,0.933461,0.881142,0.946552,0.721107,0.710767,0.898985,0.748254,0.752658,0.948813,0.728962,0.959298,0.869570
double_relative,0.709315,0.726141,0.754663,0.692815,0.932129,0.649807,0.826696,0.700279,0.725848,0.731792,0.927290,0.886186,1.000000,0.894450,0.882438,0.865489,0.863036,0.671763,0.923983,0.867527,0.703828,0.856204,0.668870,0.803835,0.755889,0.941826,0.699767,0.907234,0.928382,0.887324,0.883756,0.734403,0.680289,0.880949,0.878546,0.893904,0.710342,0.729964,0.895949,0.733559,0.724758,0.909457,0.699630,0.859892,0.850031
en_fr_phrase,0.741976,0.752563,0.759100,0.691633,0.871647,0.600336,0.863594,0.742945,0.711227,0.744319,0.922467,0.911302,0.894450,1.000000,0.960948,0.959511,0.943101,0.724192,0.919003,0.920537,0.747851,0.924923,0.747364,0.859538,0.730799,0.857433,0.754053,0.922002,0.844518,0.867646,0.884458,0.741665,0.689505,0.916318,0.918177,0.892696,0.667930,0.676814,0.921412,0.754705,0.753061,0.924270,0.743525,0.908727,0.934003
en_fr_word,0.746595,0.733909,0.787954,0.670676,0.892409,0.644791,0.859691,0.733548,0.696646,0.741374,0.915086,0.924919,0.882438,0.960948,1.000000,0.968952,0.935601,0.719784,0.928639,0.894794,0.746076,0.963372,0.750751,0.849441,0.713865,0.866601,0.755655,0.942526,0.870966,0.893987,0.921121,0.739330,0.660269,0.946440,0.890761,0.905709,0.686337,0.690331,0.889167,0.742196,0.758751,0.910040,0.745124,0.920096,0.900139
en_zh_phrase,0.747484,0.733082,0.771030,0.686161,0.866110,0.612875,0.860453,0.741200,0.698570,0.738482,0.906852,0.916687,0.865489,0.959511,0.968952,1.000000,0.948166,0.718558,0.921284,0.904508,0.743391,0.949182,0.755752,0.852308,0.706701,0.850058,0.751709,0.932579,0.839460,0.873533,0.909767,0.737453,0.659809,0.932383,0.899899,0.901892,0.673437,0.679354,0.894395,0.745453,0.754993,0.903739,0.749080,0.916699,0.902957
en_zh_word,0.752693,0.743687,0.724336,0.693146,0.864858,0.606268,0.863327,0.726078,0.681201,0.740327,0.904691,0.929091,0.863036,0.943101,0.935601,0.948166,1.000000,0.699682,0.942077,0.903524,0.745779,0.920758,0.725104,0.850327,0.709018,0.846643,0.742601,0.948129,0.841152,0.889847,0.926096,0.737678,0.671424,0.875582,0.890575,0.911779,0.687963,0.684260,0.899444,0.750645,0.758785,0.907055,0.751269,0.906928,0.925734
existential_no,0.939928,0.945819,0.662176,0.876311,0.656829,0.600589,0.664945,0.924965,0.912434,0.913954,0.719382,0.702707,0.671763,0.724192,0.719784,0.718558,0.699682,1.000000,0.693400,0.746018,0.955535,0.716240,0.937477,0.690762,0.917846,0.637535,0.955174,0.697985,0.637955,0.655195,0.663517,0.911717,0.839082,0.733865,0.741794,0.686080,0.835037,0.749437,0.730491,0.925952,0.889956,0.723673,0.886204,0.725426,0.729899
formal,0.752279,0.743347,0.813438,0.680708,0.963590,0.704034,0.878714,0.740280,0.710083,0.767352,0.953579,0.961693,0.923983,0.919003,0.928639,0.921284,0.942077,0.693400,1.000000,0.899655,0.735464,0.925107,0.697074,0.872876,0.750375,0.932332,0.726154,0.983226,0.943802,0.976389,0.978671,0.772734,0.671238,0.914324,0.897846,0.959341,0.757294,0.753462,0.916482,0.766237,0.766266,0.933085,0.752120,0.917628,0.859887
future_will,0.723781,0.747180,0.858143,0.667472,0.844481,0.586138,0.846374,0.711754,0.691144,0.727479,0.897893,0.886175,0.867527,0.920537,0.894794,0.904508,0.903524,0.746018,0.899655,1.000000,0.753047,0.875278,0.738092,0.892452,0.721506,0.832281,0.731547,0.894339,0.820326,0.842949,0.859932,0.723226,0.681491,0.912307,0.991735,0.869966,0.637410,0.642548,0.914281,0.731416,0.731470,0.900616,0.736903,0.890587,0.911379
get_passive,0.941778,0.980349,0.651216,0.860507,0.697796,0.684181,0.690585,0.928551,0.916752,0.938767,0.732765,0.725076,0.703828,0.747851,0.746076,0.743391,0.745779,0.955535,0.735464,0.753047,1.000000,0.732530,0.934096,0.720507,0.950503,0.676971,0.956973,0.744588,0.676724,0.705700,0.721070,0.949425,0.851721,0.732755,0.745466,0.710442,0.890395,0.819889,0.745021,0.959084,0.951569,0.743950,0.947848,0.737692,0.752345
he_coref,0.747882,0.726902,0.774105,0.669238,0.888062,0.646510,0.861466,0.729213,0.699623,0.740238,0.924332,0.933743,0.856204,0.924923,0.963372,0.949182,0.920758,0.716240,0.925107,0.875278,0.732530,1.000000,0.723426,0.840402,0.706377,0.860278,0.744888,0.934178,0.872167,0.896846,0.911565,0.737107,0.657393,0.926229,0.869802,0.920837,0.693298,0.689663,0.874852,0.734638,0.751780,0.920575,0.725071,0.948169,0.877960
inference,0.933820,0.918941,0.628276,0.856746,0.655365,0.604430,0.665727,0.935335,0.889471,0.910697,0.692476,0.702374,0.668870,0.747364,0.750751,0.755752,0.725104,0.937477,0.697074,0.738092,0.934096,0.723426,1.000000,0.671871,0.895496,0.640233,0.947673,0.709762,0.635359,0.653248,0.682291,0.898669,0.827010,0.733853,0.733952,0.668691,0.834030,0.765069,0.686782,0.917586,0.883221,0.698354,0.914606,0.707791,0.712453
it_coref,0.686334,0.696322,0.821375,0.618017,0.820753,0.603633,0.862494,0.698528,0.648355,0.687846,0.860792,0.866153,0.803835,0.859538,0.849441,0.852308,0.850327,0.690762,0.872876,0.892452,0.720507,0.840402,0.671871,1.000000,0.676158,0.776392,0.681878,0.875123,0.793669,0.847725,0.853701,0.685604,0.626201,0.858973,0.870617,0.826151,0.604632,0.596607,0.876887,0.677844,0.701250,0.864669,0.705578,0.862970,0.839439
lexical_not_adj,0.938990,0.975877,0.637455,0.892172,0.742579,0.671478,0.686661,0.927119,0.948431,0.940831,0.761761,0.724275,0.755889,0.730799,0.713865,0.706701,0.709018,0.917846,0.750375,0.721506,0.950503,0.706377,0.895496,0.676158,1.000000,0.762891,0.934922,0.724942,0.742196,0.717459,0.714310,0.949353,0.872482,0.709726,0.726238,0.731078,0.927571,0.873376,0.734927,0.960099,0.904381,0.740900,0.893229,0.714143,0.695777
